"","Plot","Quad","x","y","Tubbs.mtbs.RDNBR","Tubbs.mtbs.DNBR","Tubbs.mtbs.DNBR6","Kincade.mtbs.RDNBR","Kincade.mtbs.DNBR","Kincade.mtbs.DNBR6"
"244","PPW1525","D4",-2273419.54623461,2049892.21222029,75,32,1,22,3,0
"245","PPW1525","D5",-2273413.88252698,2049911.60438095,35,4,1,22,3,0
"246","PPW1525","E1",-2273417.51748256,2049828.47811091,398,245,2,93,50,0
"247","PPW1525","E2",-2273411.85377447,2049847.87027343,478,328,3,161,99,0
"248","PPW1525","E3",-2273406.19006633,2049867.26243518,279,170,2,55,26,0
"249","PPW1525","E4",-2273400.52635814,2049886.65459615,35,4,1,55,26,0
"250","PPW1525","E5",-2273394.8626499,2049906.04675635,35,4,1,-8,-22,0
"251","PPW1532","A1",-2274789.56437958,2050725.04246084,152,97,2,61,36,1
"252","PPW1532","A2",-2274783.90071918,2050744.43464079,152,97,2,61,36,1
"253","PPW1532","A3",-2274778.23705874,2050763.82681996,116,71,2,34,14,1
"254","PPW1532","A4",-2274772.57339827,2050783.21899836,116,71,2,34,14,1
"255","PPW1532","A5",-2274766.90973776,2050802.61117599,81,48,1,5,-10,1
"256","PPW1532","B1",-2274770.54441449,2050719.48501856,176,121,2,61,36,1
"257","PPW1532","B2",-2274764.88075347,2050738.87719806,110,68,1,61,36,1
"258","PPW1532","B3",-2274759.21709241,2050758.26937679,127,86,2,30,11,1
"259","PPW1532","B4",-2274753.55343131,2050777.66155475,127,86,2,25,6,1
"260","PPW1532","B5",-2274747.88977019,2050797.05373193,81,49,1,27,8,1
"261","PPW1532","C1",-2274751.52445036,2050713.92757382,120,76,2,42,21,1
"262","PPW1532","C2",-2274745.86078872,2050733.31975288,110,68,1,30,11,1
"263","PPW1532","C3",-2274740.19712704,2050752.71193117,110,68,1,30,11,1
"264","PPW1532","C4",-2274734.53346533,2050772.10410868,143,99,2,25,6,1
"265","PPW1532","C5",-2274728.86980358,2050791.49628542,160,111,2,1,-14,1
"266","PPW1532","D1",-2274732.5044872,2050708.37012665,100,64,1,42,21,1
"267","PPW1532","D2",-2274726.84082494,2050727.76230526,82,49,1,42,21,1
