OID_COPY_1,Canopy_Damage_Percent_MEAN,Soil_Burn_Severity_MEAN,RBR_MEAN
631,2.903554,1.043062,16.4349
632,76.71572,1.07309,173.1806
633,7.766758,1.040741,157.9117
634,44.45652,1.301887,121.4656
635,95.27333,1.771398,164.8677
636,78.71203,1.2625,60.75674
637,2.147783,1.1625,22.63411
638,30.53763,1.601896,70.23992
639,48.15331,1.554386,326.584
640,58.24303,1.461207,182.1897
641,98.53595,1.261538,124.5335
642,76.04947,1.350649,251.2594
643,55.92865,1,126.2582
644,22.41647,1.298246,202.6994
645,78.17703,1.156522,103.9054
646,99.68051,2.290761,22.26326
647,9.954374,1.002688,409.8264
648,95.16329,2.030769,459.4985
649,9.959992,1.231788,286.9147
650,98.91756,2.332724,354.7543
651,51.7587,1.554608,466.241
652,38.04842,1.356164,690.391
653,97.48311,1.795673,202.2919
654,96.37108,1.8,108.8357
655,94.86798,1.30102,179.2326
656,47.25698,1.354167,118.4684
657,17.89008,1,-3.14174
658,4.106317,1.152174,88.51815
659,78.93602,1.164835,17.4883
660,83.64486,1.553785,75.51165
661,96.46136,1.954082,5.779561
662,13.5249,1,136.6901
663,32.89249,1.074257,10.02896
664,93.22136,1.786885,61.30277
665,27.61728,1.152439,305.6264
666,2.620087,1,218.1922
667,85.47763,2.213605,81.76818
668,89.08679,1.783784,116.7084
669,72.9409,1.015873,144.2327
670,31.21951,2,122.4849
671,74.14141,1.484375,208.1974
672,27.55865,1.558559,113.3116
673,44.94597,1.833333,115.0526
674,12.97121,1.055814,78.53667
675,9.808482,1.315789,163.7878
676,35.15609,1.324104,461.576
677,44.45202,1.135057,-2.99366
678,76.18938,1.382716,147.103
679,99.16381,2.360784,36.6995
680,67.34106,1.896458,376.2037
681,98,1.660377,112.5232
682,6.522641,1.041199,142.7972
683,62.61454,1.983607,305.3735
684,45.49447,1.524476,158.706
685,62.36804,1.456522,218.5789
686,64.60464,1.05036,81.66132
687,46.96432,1.069307,34.54661
688,27.62919,1.493827,36.13824
689,48.7378,1.713043,134.0639
690,48.19857,1.508108,149.5913
691,95.72503,2.595937,159.7899
692,43.10476,1.348315,16.26765
693,99.32625,1.876068,153.923
695,59.76639,1.928571,136.4773
696,12.57038,1.567742,60.23759
697,84.24496,1.982759,23.50143
698,22.42898,1.070632,357.6088
699,12.4423,1.206226,183.3539
700,21.86891,1.12844,157.2267
702,44.48925,1,114.8157
703,82.45139,1.415638,88.21646
704,82.76163,1.675127,68.88862
705,41.39246,1,108.32
706,21.54731,1.587097,7.734976
707,51.65363,1.367742,38.91815
708,52.19969,1.752577,95.06724
709,23.85633,1.11236,109.095
710,54.67992,1.138462,177.0125
711,98.53367,2.462025,331.3627
712,37.63153,1.15625,155.9085
713,88.44855,1.174419,103.7718
714,13.60221,1.038153,7.636929
715,42.82638,1.514563,176.1021
716,71.50959,1.622951,105.543
717,93.54395,2.144876,127.7762
718,42.75648,1.810811,240.9945
719,66.06917,1.882353,133.1549
720,50.28236,1.130233,81.77791
721,96.444,2.154412,154.1034
722,17.538,1.546697,92.12712
723,96.12179,1.080645,427.0369
724,50.52977,1.2,127.0437
725,89.99786,1.580645,364.8705
726,72.99138,1,118.1315
727,33.45485,1.170418,118.2917
728,100,2.18018,100.9972
729,98.63813,2.533333,109.6733
730,33.09353,1.259259,66.93594
731,51.41037,1.304348,120.5642
732,53.06848,1.391304,90.57984
733,2.552599,1.009804,221.5659
734,83.65197,2.046512,112.6383
735,14.08961,1.8,150.9025
